"","V1"
"1263",14
"1264",37
"1265",15
"1266",31
"1267",13
"1268",23
"1269",5
"1270",17
"1271",33
"1272",2
"1273",11
"1274",3
"1275",30
"1276",5
"1277",5
"1278",36
"1279",23
"1280",36
"1281",18
"1282",11
"1283",38
"1284",12
"1285",23
"1286",11
"1287",31
"1288",37
"1289",23
"1290",12
"1291",17
"1292",8
"1293",2
"1294",9
"1295",32
"1296",6
"1297",11
"1298",22
"1299",29
"1300",17
"1301",1
"1302",26
"1303",18
"1304",7
"1305",24
"1306",10
"1307",13
"1308",21
"1309",36
"1310",21
"1311",36
"1312",16
"1313",9
"1314",4
"1315",28
"1316",17
"1317",36
"1318",1
"1319",14
"1320",8
"1321",5
"1322",26
"1323",26
"1324",11
"1325",8
"1326",13
"1327",24
"1328",38
"1329",36
"1330",30
"1331",7
"1332",37
"1333",33
"1334",7
"1335",17
"1336",1
"1337",9
"1338",33
"1339",25
"1340",20
"1341",30
"1342",34
"1343",11
"1344",11
"1345",36
"1346",21
"1347",11
"1348",23
"1349",39
"1350",23
"1351",23
"1352",2
"1353",31
"1354",36
"1355",2
"1356",2
"1357",36
"1358",37
"1359",7
"1360",17
"1361",32
"1362",2
"1363",34
"1364",30
"1365",29
"1366",37
"1367",16
"1368",8
"1369",8
"1370",4
"1371",7
"1372",11
"1373",21
"1374",12
"1375",1
"1376",36
"1377",4
"1378",13
"1379",8
"1380",1
"1381",4
"1382",23
"1383",13
"1384",26
"1385",26
"1386",20
"1387",22
"1388",37
"1389",37
"1390",11
"1391",14
"1392",31
"1393",3
"1394",25
"1395",11
"1396",11
"1397",19
"1398",11
"1399",8
"1400",17
"1401",13
"1402",34
"1403",22
"1404",8
"1405",10
"1406",3
"1407",15
"1408",8
"1409",39
"1410",11
"1411",6
"1412",36
"1413",34
"1414",3
"1415",5
"1416",18
"1417",37
"1418",14
"1419",8
"1420",23
"1421",30
"1422",16
"1423",11
"1424",16
"1425",2
"1426",5
"1427",31
"1428",5
"1429",33
"1430",21
"1431",2
"1432",6
"1433",11
"1434",26
"1435",20
"1436",2
"1437",2
"1438",31
"1439",13
"1440",31
"1441",29
"1442",33
"1443",14
"1444",36
"1445",4
"1446",1
"1447",17
"1448",34
"1449",2
"1450",7
"1451",1
"1452",28
"1453",28
"1454",30
"1455",33
"1456",8
"1457",35
"1458",36
"1459",7
"1460",8
"1461",27
"1462",11
"1463",31
"1464",17
"1465",15
"1466",20
"1467",1
"1468",23
"1469",12
"1470",11
"1471",1
"1472",25
"1473",17
"1474",1
"1475",22
"1476",33
"1477",37
"1478",9
"1479",29
"1480",10
"1481",40
"1482",40
"1483",11
"1484",8
"1485",12
"1486",21
"1487",15
"1488",37
"1489",8
"1490",7
"1491",36
"1492",11
"1493",23
"1494",23
"1495",1
"1496",8
"1497",38
"1498",9
"1499",28
"1500",13
"1501",16
"1502",21
"1503",16
"1504",37
"1505",34
"1506",21
"1507",2
"1508",11
"1509",8
"1510",5
"1511",10
"1512",22
"1513",5
"1514",2
"1515",22
"1516",33
"1517",13
"1518",36
"1519",28
"1520",17
"1521",37
"1522",35
"1523",9
"1524",5
"1525",10
"1526",38
"1527",24
"1528",18
"1529",15
"1530",11
"1531",36
"1532",21
"1533",3
"1534",4
"1535",40
"1536",36
"1537",18
"1538",23
"1539",4
"1540",30
"1541",7
"1542",6
"1543",23
"1544",22
"1545",32
"1546",7
"1547",23
"1548",18
"1549",3
"1550",33
"1551",24
"1552",2
"1553",33
"1554",36
"1555",32
"1556",11
"1557",23
"1558",3
"1559",29
"1560",24
"1561",22
"1562",7
"1563",18
"1564",13
"1565",29
"1566",14
"1567",36
"1568",21
"1569",4
"1570",18
"1571",1
"1572",3
"1573",9
"1574",21
"1575",14
"1576",28
"1577",14
"1578",14
"1579",36
"1580",14
"1581",11
"1582",11
"1583",11
"1584",34
"1585",21
"1586",23
"1587",31
"1588",33
"1589",33
"1590",13
"1591",11
"1592",21
"1593",20
"1594",11
"1595",8
"1596",17
"1597",29
"1598",5
"1599",28
"1600",2
"1601",24
"1602",10
"1603",10
"1604",32
"1605",24
"1606",18
"1607",37
"1608",15
"1609",4
"1610",8
"1611",34
"1612",37
"1613",8
"1614",17
"1615",4
"1616",36
"1617",37
"1618",9
"1619",20
"1620",18
"1621",24
"1622",19
"1623",17
"1624",23
"1625",8
"1626",2
"1627",36
"1628",33
"1629",12
"1630",7
"1631",36
"1632",13
"1633",33
"1634",21
"1635",1
"1636",11
"1637",33
"1638",6
"1639",19
"1640",26
"1641",9
"1642",11
"1643",26
"1644",1
"1645",37
"1646",5
"1647",3
"1648",28
"1649",30
"1650",24
"1651",6
"1652",1
"1653",40
"1654",4
"1655",38
"1656",29
"1657",23
"1658",37
"1659",21
"1660",35
"1661",37
"1662",32
"1663",17
"1664",17
"1665",10
"1666",13
"1667",8
"1668",10
"1669",1
"1670",6
"1671",18
"1672",33
"1673",39
"1674",2
"1675",31
"1676",33
"1677",12
"1678",39
"1679",3
"1680",4
"1681",13
"1682",4
"1683",37
"1684",20
"1685",5
"1686",8
"1687",34
"1688",11
"1689",3
"1690",11
"1691",3
"1692",1
"1693",8
"1694",27
"1695",32
"1696",3
"1697",35
"1698",4
"1699",4
"1700",4
"1701",28
"1702",3
"1703",30
"1704",8
"1705",29
"1706",34
"1707",24
"1708",11
"1709",23
"1710",4
"1711",15
"1712",2
"1713",6
"1714",11
"1715",20
"1716",32
"1717",33
"1718",31
"1719",36
"1720",21
"1721",40
"1722",39
"1723",22
"1724",20
"1725",11
"1726",8
"1727",6
"1728",12
"1729",17
"1730",16
"1731",19
"1732",16
"1733",22
"1734",12
"1735",34
"1736",1
"1737",23
"1738",5
"1739",3
"1740",11
"1741",33
"1742",10
"1743",1
"1744",2
"1745",16
"1746",19
"1747",24
"1748",27
"1749",37
"1750",15
"1751",18
"1752",10
"1753",29
"1754",25
"1755",18
"1756",12
"1757",4
"1758",9
"1759",33
"1760",17
"1761",2
"1762",31
"1763",33
"1764",24
"1765",26
"1766",6
"1767",20
"1768",36
"1769",28
"1770",36
"1771",31
"1772",36
"1773",31
"1774",36
"1775",5
"1776",16
"1777",17
"1778",6
"1779",17
"1780",8
"1781",19
"1782",1
"1783",37
"1784",2
"1785",2
"1786",5
"1787",37
"1788",3
"1789",35
"1790",23
"1791",13
"1792",9
"1793",2
"1794",30
"1795",33
"1796",37
"1797",10
"1798",10
"1799",36
"1800",2
"1801",17
"1803",8
"1804",3
"1805",12
"1806",20
"1807",11
"1808",9
"1809",8
"1810",8
"1811",3
"1812",8
"1813",9
"1814",7
"1815",5
"1816",23
"1817",30
"1818",28
"1819",3
"1820",37
"1821",25
"1822",7
"1823",33
"1824",12
"1825",37
"1826",26
"1827",33
"1828",33
"1829",6
"1830",19
"1831",33
"1832",26
"1833",26
"1834",2
"1835",5
"1836",11
"1837",33
"1838",21
"1839",37
"1840",21
"1841",9
"1842",9
"1843",36
"1844",6
"1845",31
"1846",1
"1847",26
"1848",23
"1849",23
"1850",37
"1851",1
"1852",36
"1853",26
"1854",1
"1855",37
"1856",28
"1857",26
"1858",3
"1859",29
"1860",4
"1861",12
"1862",17
"1863",26
"1864",11
"1865",31
"1866",33
"1867",30
"1868",29
"1869",2
"1870",27
"1871",31
"1872",36
"1873",10
"1874",37
"1875",13
"1876",5
"1877",33
"1878",32
"1879",11
"1880",36
"1881",13
"1882",2
"1883",37
"1884",18
"1885",12
"1886",33
"1887",26
"1888",18
"1889",34
"1890",2
"1891",17
"1892",40
"1893",36
"1894",2
"1895",36
"1896",18
"1897",28
"1898",40
"1899",29
"1900",8
"1901",23
"1902",40
"1903",2
"1904",27
"1905",6
"1906",23
"1907",26
"1908",15
"1909",19
"1910",37
"1911",8
"1912",14
"1913",20
"1914",28
"1915",7
"1916",11
"1917",13
"1918",29
"1919",24
"1920",10
"1921",37
"1922",5
"1923",29
"1924",31
"1925",37
"1926",17
"1927",36
